"common/c_cpp/src/c/fileparser.c:174","(style) Consecutive return, break, continue, goto or throw statements are unnecessary."
"common/c_cpp/src/c/fileutils.c:48","(warning, inconclusive) The buffer 'delimiters' may not be null-terminated after the call to strncpy()."
"common/c_cpp/src/c/fileutils.c:51","(portability) Non reentrant function 'strtok' called. For threadsafe applications it is recommended to use the reentrant replacement function 'strtok_r'."
"common/c_cpp/src/c/fileutils.c:68","(portability) Non reentrant function 'strtok' called. For threadsafe applications it is recommended to use the reentrant replacement function 'strtok_r'."
"common/c_cpp/src/c/list.c:184","(error) Memory leak: result"
"common/c_cpp/src/c/list.c:295 -> common/c_cpp/src/c/list.c:298","(style) Variable 'rval' is reassigned a value before the old one has been used."
"common/c_cpp/src/c/list.c:312 -> common/c_cpp/src/c/list.c:315","(style) Variable 'rval' is reassigned a value before the old one has been used."
"common/c_cpp/src/c/list.c:331","(style) The scope of the variable 'i' can be reduced."
"common/c_cpp/src/c/list.c:381 -> common/c_cpp/src/c/list.c:384","(style) Variable 'rval' is reassigned a value before the old one has been used."
"common/c_cpp/src/c/list.c:629 -> common/c_cpp/src/c/list.c:632","(style) Variable 'rval' is reassigned a value before the old one has been used."
"common/c_cpp/src/c/list.c:678 -> common/c_cpp/src/c/list.c:682","(style) Variable 'rval' is reassigned a value before the old one has been used."
"common/c_cpp/src/c/list.c:738 -> common/c_cpp/src/c/list.c:742","(style) Variable 'cur' is reassigned a value before the old one has been used."
"common/c_cpp/src/c/machine_port.c:106 -> common/c_cpp/src/c/machine_port.c:122","(style) Variable 'dir' is reassigned a value before the old one has been used."
"common/c_cpp/src/c/machine_port.c:107","(style) The scope of the variable 'buffer' can be reduced."
"common/c_cpp/src/c/machine_port.c:123","(portability) Non reentrant function 'readdir' called. For threadsafe applications it is recommended to use the reentrant replacement function 'readdir_r'."
"common/c_cpp/src/c/machine_port.c:179","(portability) Non reentrant function 'readdir' called. For threadsafe applications it is recommended to use the reentrant replacement function 'readdir_r'."
"common/c_cpp/src/c/machine_port.c:212","(portability) Non reentrant function 'readdir' called. For threadsafe applications it is recommended to use the reentrant replacement function 'readdir_r'."
"common/c_cpp/src/c/machine_port.c:286","(style) The scope of the variable 'name' can be reduced."
"common/c_cpp/src/c/machine_port.c:287","(style) The scope of the variable 'len' can be reduced."
"common/c_cpp/src/c/machine_port.c:349","(style) The scope of the variable 'ppid' can be reduced."
"common/c_cpp/src/c/memnode.c:34 -> common/c_cpp/src/c/memnode.c:35","(style) Variable 'newNode' is reassigned a value before the old one has been used."
"common/c_cpp/src/c/mempool.c:174 -> common/c_cpp/src/c/mempool.c:176","(style) Variable 'tracker' is reassigned a value before the old one has been used."
"common/c_cpp/src/c/mempool.c:196 -> common/c_cpp/src/c/mempool.c:198","(style) Variable 'tracker' is reassigned a value before the old one has been used."
"common/c_cpp/src/c/network.c:155","(error) Resource leak: sock"
"common/c_cpp/src/c/network.c:162 -> common/c_cpp/src/c/network.c:170","(style) Variable 'host' is reassigned a value before the old one has been used."
"common/c_cpp/src/c/network.c:170","(style) Obsolescent function 'gethostbyname' called. It is recommended to use 'getaddrinfo' instead."
"common/c_cpp/src/c/network.c:176","(warning, inconclusive) The buffer 'gIPAddress' may not be null-terminated after the call to strncpy()."
"common/c_cpp/src/c/network.c:183","(warning, inconclusive) The buffer 'gIPAddress' may not be null-terminated after the call to strncpy()."
"common/c_cpp/src/c/network.c:34","(style) The scope of the variable 'netip' can be reduced."
"common/c_cpp/src/c/network.c:61","(portability) Non reentrant function 'getnetbyname' called. For threadsafe applications it is recommended to use the reentrant replacement function 'getnetbyname_r'."
"common/c_cpp/src/c/network.c:70","(style) Obsolescent function 'gethostbyname' called. It is recommended to use 'getaddrinfo' instead."
"common/c_cpp/src/c/property.c:342 -> common/c_cpp/src/c/property.c:354","(style) Variable 'returnVal' is reassigned a value before the old one has been used."
"common/c_cpp/src/c/property.c:64","(style) The scope of the variable 'i' can be reduced."
"common/c_cpp/src/c/property.c:64","(style) The scope of the variable 'j' can be reduced."
"common/c_cpp/src/c/property.c:65","(style) The scope of the variable 'pointer' can be reduced."
"common/c_cpp/src/c/property.c:66","(style) The scope of the variable 'length' can be reduced."
"common/c_cpp/src/c/propertyinternal.h:25 -> common/c_cpp/src/c/property.c:548","(style, inconclusive) Function 'propertiesImpl_AddProperty' argument 1 names different: declaration 'this' definition 'properties'."
"common/c_cpp/src/c/queue.c:75 -> common/c_cpp/src/c/queue.c:78","(style) Variable 'impl' is reassigned a value before the old one has been used."
"common/c_cpp/src/c/strutils.c:361","(warning) Assignment of function parameter has no effect outside the function. Did you forget dereferencing it?"
"common/c_cpp/src/c/strutils.c:445","(style) The scope of the variable 'OK' can be reduced."
"common/c_cpp/src/c/strutils.c:447","(style) The scope of the variable 'n' can be reduced."
"common/c_cpp/src/c/strutils.c:605","(portability) Non reentrant function 'strtok' called. For threadsafe applications it is recommended to use the reentrant replacement function 'strtok_r'."
"common/c_cpp/src/c/strutils.c:632","(error) Array 'version->mExtra16' accessed at index 16, which is out of bounds."
"common/c_cpp/src/c/strutils.c:632","(error) Array 'version.mExtra16' accessed at index 16, which is out of bounds."
"common/c_cpp/src/c/strutils.c:645","(portability) Non reentrant function 'strtok' called. For threadsafe applications it is recommended to use the reentrant replacement function 'strtok_r'."
"common/c_cpp/src/c/thread.c:129 -> common/c_cpp/src/c/thread.c:127","(warning) Either the condition 'if(impl)' is redundant or there is possible null pointer dereference: impl."
"common/c_cpp/src/c/timers.c:123 -> common/c_cpp/src/c/timers.c:127","(style) Variable 'ele' is reassigned a value before the old one has been used."
"common/c_cpp/src/c/timers.c:280","(style) Variable 'kickPipe' is assigned a value that is never used."
"common/c_cpp/src/c/wMessageStats.c:237","(style) Unused variable: mysCacheStatus"
"common/c_cpp/src/c/wMessageStats.c:289","(error) Memory leak: mysCache"
"common/c_cpp/src/c/wMessageStats.c:301","(error) Memory leak: mysCache"
"common/c_cpp/src/c/wMessageStats.c:356","(style) The scope of the variable 'timeIntervalInSeconds' can be reduced."
"common/c_cpp/src/c/wMessageStats.c:444 -> common/c_cpp/src/c/wMessageStats.c:445","(style) Variable 'mPData' is reassigned a value before the old one has been used."
"common/c_cpp/src/c/wMessageStats.c:466","(style) The scope of the variable 'ret' can be reduced."
"common/c_cpp/src/c/wMessageStats.c:557","(style) The scope of the variable 'latencyUSecs' can be reduced."
"common/c_cpp/src/c/wMessageStats.c:608","(portability) Non reentrant function 'localtime' called. For threadsafe applications it is recommended to use the reentrant replacement function 'localtime_r'."
"common/c_cpp/src/c/wMessageStats.c:718 -> common/c_cpp/src/c/wMessageStats.c:729","(style) Variable 'diffRealTime' is reassigned a value before the old one has been used."
"common/c_cpp/src/c/wMessageStats.c:719 -> common/c_cpp/src/c/wMessageStats.c:738","(style) Variable 'diff' is reassigned a value before the old one has been used."
"common/c_cpp/src/c/wMessageStats.c:720","(style) Variable 'CurrentProcTime' is not assigned a value."
"common/c_cpp/src/c/wMessageStats.c:721 -> common/c_cpp/src/c/wMessageStats.c:724","(style) Variable 'CurrentRealTime' is reassigned a value before the old one has been used."
"common/c_cpp/src/c/wMessageStats.c:982 -> common/c_cpp/src/c/wMessageStats.c:983","(style) Variable 'mPData' is reassigned a value before the old one has been used."
"common/c_cpp/src/c/wombat/port.h:112 -> common/c_cpp/src/c/wSemaphore.c:26","(style, inconclusive) Function 'wsem_timedwait' argument 2 names different: declaration 'ts' definition 'timeoutval'."
"common/c_cpp/src/c/wombat/strutils.h:106 -> common/c_cpp/src/c/strutils.c:271","(style, inconclusive) Function 'wmFastPrintF32' argument 4 names different: declaration 'decimalPlaces' definition 'places'."
"common/c_cpp/src/c/wombat/strutils.h:111 -> common/c_cpp/src/c/strutils.c:278","(style, inconclusive) Function 'wmFastPrintF64' argument 2 names different: declaration 'maxLen' definition 'maxlen'."
"common/c_cpp/src/c/wombat/strutils.h:113 -> common/c_cpp/src/c/strutils.c:280","(style, inconclusive) Function 'wmFastPrintF64' argument 4 names different: declaration 'decimalPlaces' definition 'places'."
"common/c_cpp/src/c/wombat/strutils.h:50 -> common/c_cpp/src/c/strutils.c:382","(style, inconclusive) Function 'wmFastCopyAndShiftStr' argument 1 names different: declaration 'result' definition 'result0'."
"common/c_cpp/src/c/wombat/strutils.h:51 -> common/c_cpp/src/c/strutils.c:383","(style, inconclusive) Function 'wmFastCopyAndShiftStr' argument 2 names different: declaration 'maxLen' definition 'maxLen0'."
"common/c_cpp/src/c/wombat/strutils.h:56 -> common/c_cpp/src/c/strutils.c:399","(style, inconclusive) Function 'wmFastCopyAndShiftChar' argument 1 names different: declaration 'result' definition 'result0'."
"common/c_cpp/src/c/wombat/strutils.h:57 -> common/c_cpp/src/c/strutils.c:400","(style, inconclusive) Function 'wmFastCopyAndShiftChar' argument 2 names different: declaration 'maxLen' definition 'maxLen0'."
"common/c_cpp/src/c/wtable.c:161","(style) The scope of the variable 'func' can be reduced."
"common/c_cpp/src/c/wtable.c:223","(style) The scope of the variable 'func' can be reduced."
"common/c_cpp/src/c/wtable.c:298","(style) The scope of the variable 'func' can be reduced."
"common/c_cpp/src/c/wtable.c:366","(style) The scope of the variable 'func' can be reduced."
"mama/c_cpp/src/c/bridge/qpid/bridge.c:156","(style) The scope of the variable 'timerThread' can be reduced."
"mama/c_cpp/src/c/bridge/qpid/bridge.c:72","(style) Unused variable: propString"
"mama/c_cpp/src/c/bridge/qpid/endpointpool.c:257 -> mama/c_cpp/src/c/bridge/qpid/endpointpool.c:260","(style) Variable 'newConsumerTable' is reassigned a value before the old one has been used."
"mama/c_cpp/src/c/bridge/qpid/endpointpool.c:455 -> mama/c_cpp/src/c/bridge/qpid/endpointpool.c:459","(style) Variable 'registeredTable' is reassigned a value before the old one has been used."
"mama/c_cpp/src/c/bridge/qpid/endpointpool.c:78 -> mama/c_cpp/src/c/bridge/qpid/endpointpool.c:480","(style, inconclusive) Function 'endpointPoolImpl_extendBuffer' argument 1 names different: declaration 'endpoints' definition 'impl'."
"mama/c_cpp/src/c/bridge/qpid/io.c:247","(style) The scope of the variable 'dispatchResult' can be reduced."
"mama/c_cpp/src/c/bridge/qpid/publisher.c:267","(style) The scope of the variable 'targetInc' can be reduced."
"mama/c_cpp/src/c/bridge/qpid/publisher.c:682","(style) The scope of the variable 'pnLinkState' can be reduced."
"mama/c_cpp/src/c/bridge/qpid/qpidbridgefunctions.h:1105 -> mama/c_cpp/src/c/bridge/qpid/publisher.c:466","(style, inconclusive) Function 'qpidBridgeMamaPublisher_sendReplyToInboxHandle' argument 2 names different: declaration 'wmwReply' definition 'inbox'."
"mama/c_cpp/src/c/bridge/qpid/qpidbridgefunctions.h:1214 -> mama/c_cpp/src/c/bridge/qpid/inbox.c:133","(style, inconclusive) Function 'qpidBridgeMamaInbox_create' argument 2 names different: declaration 'tport' definition 'transport'."
"mama/c_cpp/src/c/bridge/qpid/qpidbridgefunctions.h:1251 -> mama/c_cpp/src/c/bridge/qpid/inbox.c:154","(style, inconclusive) Function 'qpidBridgeMamaInbox_createByIndex' argument 2 names different: declaration 'tport' definition 'transport'."
"mama/c_cpp/src/c/bridge/qpid/qpidbridgefunctions.h:595 -> mama/c_cpp/src/c/bridge/qpid/transport.c:580","(style, inconclusive) Function 'qpidBridgeMamaTransport_freeAllServerConnections' argument 3 names different: declaration 'connections' definition 'result'."
"mama/c_cpp/src/c/bridge/qpid/qpidbridgefunctions.h:607 -> mama/c_cpp/src/c/bridge/qpid/transport.c:589","(style, inconclusive) Function 'qpidBridgeMamaTransport_freeAllConnections' argument 3 names different: declaration 'connections' definition 'result'."
